,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)",Winner
280,2,1,2,2,1,1,2,1,1,1
281,1,1,2,2,1,2,1,2,1,1
282,1,2,2,1,1,2,2,1,2,2
283,1,2,2,1,2,2,2,1,1,2
284,1,2,1,2,2,1,1,1,2,0
285,0,1,1,0,0,0,2,2,2,2
286,2,2,1,1,1,1,2,1,2,1
287,2,1,2,1,2,2,1,1,1,1
288,1,2,2,1,1,1,2,2,2,2
289,0,0,2,1,2,0,2,1,0,2
290,2,1,2,1,2,1,2,2,1,2
291,2,1,2,2,1,2,1,2,1,0
292,0,2,2,1,1,2,1,0,2,2
293,2,0,0,2,1,1,2,1,2,2
294,1,1,2,1,2,1,2,2,1,2
295,1,2,2,2,2,1,2,1,1,2
296,0,1,1,0,2,1,2,2,1,1
297,1,0,0,1,0,2,1,2,0,1
298,1,1,2,2,1,1,2,1,2,1
299,1,0,2,0,1,2,1,1,2,2
300,2,0,1,2,0,0,2,0,1,2
301,2,2,1,1,1,2,1,2,1,1
302,2,1,2,0,1,2,0,1,1,1
303,2,2,1,1,1,1,2,2,2,2
304,1,2,2,2,1,1,2,2,1,1
305,2,0,1,0,2,2,1,1,1,1
306,1,1,2,2,1,2,2,2,1,1
307,1,1,1,2,2,0,2,2,0,1
308,2,0,1,2,2,1,0,1,2,2
309,1,1,1,2,2,1,2,2,2,2
310,1,1,2,2,2,1,2,1,1,2
311,1,2,1,1,2,2,1,2,2,2
312,0,0,2,1,1,1,2,2,2,2
313,1,2,2,2,1,1,1,1,2,0
314,2,1,2,2,2,1,2,1,1,2
315,2,2,2,0,0,1,2,1,1,2
316,1,2,1,2,2,2,0,0,1,2
317,1,2,1,2,2,1,1,1,2,0
318,2,2,1,1,1,2,2,1,1,0
319,1,0,0,2,1,2,2,2,1,1
320,1,1,2,2,1,2,1,1,2,2
321,1,0,2,0,1,2,0,0,2,2
322,2,1,1,2,0,1,2,0,2,2
323,1,1,2,2,1,1,1,2,2,0
324,1,1,2,2,2,1,1,1,2,0
325,2,1,1,1,2,1,0,0,2,2
326,0,1,2,0,1,0,2,1,0,1
327,2,1,1,1,2,2,1,2,1,0
328,2,2,2,1,0,1,2,0,1,2
329,0,1,2,2,2,2,0,1,1,2
330,1,1,2,0,1,2,0,2,2,2
331,1,0,1,2,2,2,0,1,2,2
332,0,0,2,1,1,1,2,2,1,1
333,2,1,1,2,2,1,1,2,2,2
334,1,1,0,2,2,2,1,1,0,2
335,2,1,1,2,0,0,2,1,2,2
336,2,2,2,2,1,1,1,1,2,2
337,1,2,2,1,1,2,1,2,1,1
338,1,1,2,2,2,2,1,2,1,2
339,2,2,2,0,1,1,1,0,1,2
340,2,2,2,1,1,1,2,1,2,1
341,1,0,2,0,1,2,1,2,1,1
342,2,1,2,2,1,1,2,1,1,1
343,1,2,2,2,2,2,1,1,1,1
344,2,2,2,1,2,1,1,1,1,1
345,2,0,2,0,2,1,1,1,2,2
346,1,2,1,2,2,2,1,1,2,2
347,1,1,2,2,1,1,1,2,2,0
348,2,2,2,1,2,1,1,1,1,1
349,2,1,1,1,2,2,1,1,2,2
350,1,1,2,1,2,1,1,2,2,1
351,2,2,1,1,2,1,2,1,2,2
352,2,1,2,1,2,2,1,1,1,1
353,1,0,2,1,2,0,2,0,0,2
354,1,2,1,0,2,1,2,2,0,2
355,1,0,2,2,2,0,1,1,1,1
356,2,1,0,0,1,2,0,1,0,1
357,2,2,1,0,1,0,1,2,2,1
358,0,1,2,1,1,2,1,0,2,2
359,1,2,1,2,1,2,2,2,1,1
360,1,1,1,2,2,2,1,2,1,2
361,2,0,1,2,0,0,2,1,0,2
362,2,1,1,2,0,0,2,0,0,2
363,0,1,0,0,1,2,2,1,0,1
364,2,2,1,2,2,1,1,1,2,2
365,1,1,2,1,2,1,1,2,2,1
366,2,1,2,2,2,1,1,1,1,1
367,2,2,1,2,1,2,1,1,2,1
368,1,1,2,0,2,0,2,0,0,2
369,1,2,1,1,2,1,2,1,2,0
370,2,2,2,1,0,0,0,0,1,2
371,1,2,2,2,1,1,1,1,2,0
372,1,1,0,2,2,2,0,0,0,2
373,2,1,0,2,2,2,0,1,1,2
374,2,2,1,1,1,2,2,1,1,0
375,1,0,1,0,0,0,2,2,2,2
376,2,1,0,0,1,1,2,1,2,1
377,2,0,1,0,1,1,1,2,2,1
378,2,1,2,1,2,2,1,1,1,1
379,2,1,2,2,1,1,1,2,2,0
380,2,2,1,1,1,1,2,2,1,1
381,2,1,1,0,2,1,1,0,2,2
382,1,2,2,1,1,2,2,2,1,1
383,2,1,1,2,2,1,1,1,2,2
384,2,2,1,1,2,2,2,1,1,0
385,1,1,2,2,2,1,1,2,2,0
386,2,2,2,0,0,0,0,1,1,2
387,0,2,2,1,2,1,2,0,1,2
388,2,2,2,1,1,2,0,0,1,2
389,2,2,1,1,2,2,2,1,1,0
390,1,2,1,1,1,2,2,1,2,0
391,2,0,0,1,1,1,0,2,0,1
392,0,1,0,2,2,2,1,0,0,2
393,1,2,1,2,2,1,1,1,2,0
394,1,1,2,2,2,1,1,1,2,0
395,2,1,1,2,1,2,1,2,1,1
396,2,0,2,2,0,2,1,1,1,1
397,1,0,2,2,2,0,2,1,1,2
398,0,1,1,0,1,1,2,2,2,2
399,1,1,2,2,1,2,2,1,1,1
400,2,2,1,2,1,1,2,1,1,1
401,1,0,2,1,2,1,2,0,1,2
402,1,1,2,1,2,2,2,1,1,2
403,2,1,2,1,1,2,1,2,1,0
404,2,2,2,1,1,2,1,1,1,1
405,2,1,1,1,2,2,2,1,1,0
406,1,1,2,2,2,1,1,2,2,0
407,1,1,1,2,2,1,2,1,2,1
408,1,1,2,2,2,1,1,2,1,0
409,1,1,2,1,2,2,2,1,1,2
410,2,2,0,1,2,0,1,1,2,2
411,2,1,0,2,0,1,2,1,1,2
412,2,2,2,1,1,0,2,0,1,2
413,1,2,1,2,2,2,1,1,1,1
414,2,2,1,1,2,2,1,1,1,1
415,2,2,0,2,2,0,1,1,1,1
416,2,0,1,1,1,2,1,0,2,1
417,0,1,2,0,2,0,2,1,0,2
418,1,0,2,1,1,2,0,1,2,2
419,0,0,2,2,1,2,1,1,2,2
420,0,1,2,1,0,2,0,0,2,2
421,1,2,2,2,1,2,1,2,1,1
422,1,1,2,1,2,2,1,1,2,2
423,2,2,2,1,1,1,2,2,1,1
424,1,2,2,2,1,1,1,1,2,0
425,2,2,1,2,2,1,1,1,2,2
426,2,0,1,2,1,0,2,1,2,2
427,0,0,2,2,1,2,1,1,1,1
428,2,2,1,2,2,2,1,1,1,1
